Sample,SUBID,Bioproject,Biosample,Accession
MD09B,SUB9509524,PRJNA723099,SAMN18804976,CP073489.1
MD16x,SUB9509524,PRJNA723099,SAMN18804977,CP073488.1
MD18Be,SUB9509524,PRJNA723099,SAMN18804978,CP073487.1
MD20B,SUB9509524,PRJNA723099,SAMN18804979,CP073486.1
MD22xe,SUB9509524,PRJNA723099,SAMN18804980,CP073485.1
MD24xe,SUB9509524,PRJNA723099,SAMN18804981,CP073484.1
MD25x,SUB9509524,PRJNA723099,SAMN18804982,CP073483.1
MD26x,SUB9509524,PRJNA723099,SAMN18804983,CP073482.1
MD507x,SUB9509524,PRJNA723099,SAMN18804984,CP073481.1
MD51x,SUB9509524,PRJNA723099,SAMN18804985,CP073480.1
MD521B,SUB9509524,PRJNA723099,SAMN18804986,CP073479.1
MD530xe,SUB9509524,PRJNA723099,SAMN18804987,CP073478.1
MD536x,SUB9509524,PRJNA723099,SAMN18804988,CP073477.1
MD57x,SUB9509524,PRJNA723099,SAMN18804989,CP073476.1
Peru213041xe,SUB9509524,PRJNA723099,SAMN18804990,CP073475.1
Peru213161xe,SUB9509524,PRJNA723099,SAMN18804991,CP073474.1
Peru214361x,SUB9509524,PRJNA723099,SAMN18804992,CP073473.1
Peru214601x,SUB9509524,PRJNA723099,SAMN18804993,CP073472.1
PeruB20010x,SUB9509524,PRJNA723099,SAMN18804994,CP073471.1
PeruC10010x,SUB9509524,PRJNA723099,SAMN18804995,CP073470.1
PeruC10050xe,SUB9509524,PRJNA723099,SAMN18804996,CP073469.1
PeruC40020xe,SUB9509524,PRJNA723099,SAMN18804997,CP073468.1
PeruC40040x,SUB9509524,PRJNA723099,SAMN18804998,CP073467.1
Tube7Lihire,SUB9509524,PRJNA723099,SAMN18804999,CP073466.1
UAB12xi,SUB9509524,PRJNA723099,SAMN18805000,CP073465.1
UAB160xe,SUB9509524,PRJNA723099,SAMN18805001,CP073464.1
UAB162xi,SUB9509524,PRJNA723099,SAMN18805002,CP073463.1
UAB164xei ,SUB9509524,PRJNA723099,SAMN18805003,CP073462.1
UAB165xi,SUB9509524,PRJNA723099,SAMN18805004,CP073461.1
UAB166xe,SUB9509524,PRJNA723099,SAMN18805005,CP073460.1
UAB167xei ,SUB9509524,PRJNA723099,SAMN18805006,CP073459.1
UAB16xi,SUB9509524,PRJNA723099,SAMN18805007,CP073458.1
UAB178ei,SUB9509524,PRJNA723099,SAMN18805008,CP073457.1
UAB17x,SUB9509524,PRJNA723099,SAMN18805009,CP073456.1
UAB191xei ,SUB9509524,PRJNA723099,SAMN18805010,CP073455.1
UAB193i,SUB9509524,PRJNA723099,SAMN18805011,CP073454.1
UAB194xi,SUB9509524,PRJNA723099,SAMN18805012,CP073453.1
